,Latitud,Ano,Mes,Dia,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas,Topoforma,Topoforma_cod
10903,20.23280805424975,2019.0,3.0,2.0,-104.17707740566632,32.599014896651205,12.202466900910993,32.599014896651205,12.202466900910993,21.233254422548587,21.233254422548587,Meseta,6
10904,18.805480297265525,2019.0,3.0,2.0,-98.51046561033166,30.265665679971274,12.44638880870901,30.265665679971274,12.44638880870901,20.393951627450384,20.393951627450384,Meseta,6
10905,20.35155821197204,2019.0,3.0,2.0,-98.36950341873256,28.169985665560354,13.757322216611824,28.169985665560354,13.757322216611824,19.591608112733137,19.591608112733137,Meseta,6
10906,24.273133579969286,2019.0,3.0,2.0,-105.2177541478973,28.876134010731327,5.942290468462749,28.876134010731327,5.942290468462749,15.264265126378728,15.264265126378728,Meseta,6
10907,25.78865578937516,2019.0,3.0,2.0,-105.87577052625011,28.051583406827348,5.490102269425987,28.051583406827348,5.490102269425987,14.589082205547546,14.589082205547546,Meseta,6
10908,20.59547795322611,2019.0,3.0,2.0,-98.5690274162759,29.40514971091718,14.026723732502864,29.40514971091718,14.026723732502864,20.27358471957005,20.27358471957005,Meseta,6
10909,27.99298831001374,2019.0,3.0,2.0,-107.89066018710564,19.62771439709297,4.638617314356674,19.62771439709297,4.638617314356674,11.070255777587414,11.070255777587414,Meseta,6
10910,23.915274298682995,2019.0,3.0,2.0,-105.05292962083693,24.906685814055066,7.533080385320876,28.577251863391627,7.533080385320876,16.01607792803584,10.743919205587186,Meseta,6
10911,20.136620755182463,2019.0,3.0,2.0,-103.7387860365256,31.379494445044244,11.663582576555067,31.379494445044244,11.663582576555067,20.395551313692096,20.395551313692096,Meseta,6
10912,21.755213170625332,2019.0,3.0,2.0,-103.37173602046077,30.947411268923435,9.630537166171539,30.947411268923435,9.630537166171539,19.1050113924311,19.1050113924311,Meseta,6
